Image,Class_NoTTA,Class_TTA,Changed
2803.jpeg,8,8,0
2804.jpeg,4,4,0
2805.jpeg,0,0,0
2806.jpeg,9,9,0
2807.jpeg,1,1,0
2808.jpeg,2,2,0
2809.jpeg,6,6,0
281.jpeg,0,0,0
2810.jpeg,2,2,0
2811.jpeg,1,1,0
2812.jpeg,7,7,0
2813.jpeg,1,1,0
2814.jpeg,1,1,0
2815.jpeg,3,3,0
2816.jpeg,2,2,0
2817.jpeg,0,0,0
2818.jpeg,9,9,0
2819.jpeg,1,1,0
282.jpeg,8,8,0
2820.jpeg,2,2,0
2821.jpeg,9,9,0
2822.jpeg,3,3,0
2823.jpeg,2,2,0
2824.jpeg,1,1,0
2825.jpeg,3,3,0
2826.jpeg,2,2,0
2827.jpeg,1,1,0
2828.jpeg,3,3,0
2829.jpeg,7,7,0
283.jpeg,2,2,0
2830.jpeg,4,4,0
2831.jpeg,8,8,0
2832.jpeg,2,2,0
2833.jpeg,7,7,0
2834.jpeg,3,3,0
2835.jpeg,6,6,0
2836.jpeg,2,2,0
2837.jpeg,0,0,0
2838.jpeg,0,0,0
2839.jpeg,3,3,0
284.jpeg,8,8,0
2840.jpeg,2,2,0
2841.jpeg,2,2,0
2842.jpeg,4,4,0
2843.jpeg,3,3,0
2844.jpeg,4,4,0
2845.jpeg,6,6,0
2846.jpeg,0,0,0
2847.jpeg,0,0,0
2848.jpeg,5,5,0
2849.jpeg,3,3,0
285.jpeg,2,2,0
2850.jpeg,9,9,0
2851.jpeg,1,1,0
2852.jpeg,3,3,0
2853.jpeg,0,0,0
2854.jpeg,1,1,0
2855.jpeg,1,1,0
2856.jpeg,7,7,0
2857.jpeg,3,3,0
2858.jpeg,1,1,0
2859.jpeg,0,0,0
286.jpeg,2,2,0
2860.jpeg,4,4,0
2861.jpeg,4,4,0
2862.jpeg,2,2,0
2863.jpeg,4,4,0
2864.jpeg,3,3,0
2865.jpeg,3,3,0
2866.jpeg,8,8,0
2867.jpeg,3,3,0
2868.jpeg,4,4,0
2869.jpeg,4,4,0
287.jpeg,3,3,0
2870.jpeg,0,0,0
2871.jpeg,1,1,0
2872.jpeg,1,1,0
2873.jpeg,7,7,0
2874.jpeg,3,3,0
2875.jpeg,2,2,0
2876.jpeg,8,8,0
2877.jpeg,1,1,0
2878.jpeg,8,8,0
2879.jpeg,4,4,0
288.jpeg,0,0,0
2880.jpeg,7,7,0
2881.jpeg,8,8,0
2882.jpeg,3,3,0
2883.jpeg,1,1,0
2884.jpeg,6,6,0
2885.jpeg,1,1,0
2886.jpeg,4,4,0
2887.jpeg,0,0,0
2888.jpeg,2,2,0
2889.jpeg,0,0,0
289.jpeg,1,1,0
2890.jpeg,3,3,0
2891.jpeg,8,8,0
2892.jpeg,0,0,0
2893.jpeg,0,0,0
2894.jpeg,7,7,0
2895.jpeg,7,7,0
2896.jpeg,3,3,0
2897.jpeg,9,9,0
2898.jpeg,6,6,0
2899.jpeg,2,2,0
29.jpeg,3,3,0
290.jpeg,3,3,0
2900.jpeg,0,0,0
2901.jpeg,1,1,0
2902.jpeg,3,3,0
2903.jpeg,2,2,0
2904.jpeg,0,0,0
2905.jpeg,7,7,0
2906.jpeg,0,0,0
2907.jpeg,3,3,0
2908.jpeg,1,1,0
2909.jpeg,5,5,0
291.jpeg,2,2,0
2910.jpeg,1,1,0
2911.jpeg,4,4,0
2912.jpeg,8,8,0
2913.jpeg,9,9,0
2914.jpeg,3,3,0
2915.jpeg,0,0,0
2916.jpeg,4,4,0
2917.jpeg,2,2,0
2918.jpeg,4,4,0
2919.jpeg,2,2,0
292.jpeg,4,4,0
2920.jpeg,1,1,0
2921.jpeg,7,7,0
2922.jpeg,2,2,0
2923.jpeg,4,4,0
2924.jpeg,0,0,0
2925.jpeg,4,4,0
2926.jpeg,9,9,0
2927.jpeg,4,4,0
2928.jpeg,1,1,0
2929.jpeg,7,7,0
293.jpeg,6,6,0
2930.jpeg,2,2,0
2931.jpeg,1,1,0
2932.jpeg,8,8,0
2933.jpeg,4,4,0
2934.jpeg,2,2,0
2935.jpeg,8,8,0
2936.jpeg,3,3,0
2937.jpeg,1,1,0
2938.jpeg,6,6,0
2939.jpeg,8,8,0
294.jpeg,6,6,0
2940.jpeg,4,4,0
2941.jpeg,4,4,0
2942.jpeg,5,5,0
2943.jpeg,4,4,0
2944.jpeg,2,2,0
2945.jpeg,2,2,0
2946.jpeg,0,0,0
2947.jpeg,3,3,0
2948.jpeg,1,1,0
2949.jpeg,9,9,0
295.jpeg,2,2,0
2950.jpeg,1,1,0
2951.jpeg,3,3,0
2952.jpeg,1,1,0
2953.jpeg,1,1,0
2954.jpeg,3,3,0
2955.jpeg,5,5,0
2956.jpeg,9,9,0
2957.jpeg,8,8,0
2958.jpeg,4,4,0
2959.jpeg,0,0,0
296.jpeg,0,0,0
2960.jpeg,1,1,0
2961.jpeg,3,3,0
2962.jpeg,3,3,0
2963.jpeg,4,4,0
2964.jpeg,0,0,0
2965.jpeg,1,1,0
2966.jpeg,4,4,0
2967.jpeg,3,3,0
2968.jpeg,2,2,0
2969.jpeg,6,6,0
297.jpeg,2,2,0
2970.jpeg,1,1,0
2971.jpeg,1,1,0
2972.jpeg,4,4,0
2973.jpeg,1,1,0
2974.jpeg,2,2,0
2975.jpeg,3,3,0
2976.jpeg,1,1,0
2977.jpeg,7,7,0
2978.jpeg,3,3,0
2979.jpeg,2,2,0
298.jpeg,7,7,0
2980.jpeg,4,4,0
2981.jpeg,8,8,0
2982.jpeg,4,4,0
2983.jpeg,0,0,0
2984.jpeg,4,**6**,1
2985.jpeg,4,4,0
2986.jpeg,0,0,0
2987.jpeg,7,7,0
2988.jpeg,2,2,0
2989.jpeg,7,7,0
299.jpeg,4,4,0
2990.jpeg,4,4,0
2991.jpeg,9,9,0
2992.jpeg,4,4,0
2993.jpeg,3,3,0
2994.jpeg,3,3,0
2995.jpeg,4,4,0
2996.jpeg,0,0,0
2997.jpeg,8,8,0
2998.jpeg,4,4,0
2999.jpeg,4,4,0
3.jpeg,2,2,0
30.jpeg,0,0,0
300.jpeg,3,3,0
3000.jpeg,4,4,0
3001.jpeg,1,1,0
3002.jpeg,2,2,0
3003.jpeg,2,2,0
3004.jpeg,4,4,0
3005.jpeg,3,3,0
3006.jpeg,1,1,0
3007.jpeg,2,2,0
3008.jpeg,4,4,0
3009.jpeg,4,4,0
301.jpeg,0,0,0
3010.jpeg,2,2,0
3011.jpeg,3,3,0
3012.jpeg,6,6,0
3013.jpeg,7,7,0
3014.jpeg,4,4,0
3015.jpeg,2,2,0
3016.jpeg,8,8,0
3017.jpeg,7,7,0
3018.jpeg,0,0,0
3019.jpeg,9,9,0
302.jpeg,2,2,0
3020.jpeg,7,7,0
3021.jpeg,6,6,0
3022.jpeg,1,1,0
3023.jpeg,1,1,0
3024.jpeg,0,0,0
3025.jpeg,2,2,0
3026.jpeg,2,2,0
3027.jpeg,0,0,0
3028.jpeg,4,4,0
3029.jpeg,5,5,0
303.jpeg,1,1,0
3030.jpeg,4,4,0
3031.jpeg,3,3,0
3032.jpeg,2,2,0
3033.jpeg,4,4,0
3034.jpeg,1,1,0
3035.jpeg,3,3,0
3036.jpeg,6,6,0
3037.jpeg,3,3,0
3038.jpeg,3,3,0
3039.jpeg,0,0,0
304.jpeg,8,8,0
3040.jpeg,8,8,0
3041.jpeg,1,1,0
3042.jpeg,4,4,0
3043.jpeg,4,4,0
3044.jpeg,8,8,0
3045.jpeg,1,1,0
3046.jpeg,1,1,0
3047.jpeg,7,7,0
3048.jpeg,7,7,0
3049.jpeg,3,3,0
305.jpeg,5,5,0
3050.jpeg,2,2,0
3051.jpeg,5,5,0
3052.jpeg,2,2,0
3053.jpeg,3,3,0
3054.jpeg,0,0,0
3055.jpeg,8,8,0
3056.jpeg,4,4,0
3057.jpeg,0,0,0
3058.jpeg,0,0,0
3059.jpeg,6,6,0
306.jpeg,1,1,0
3060.jpeg,8,8,0
3061.jpeg,0,0,0
3062.jpeg,3,3,0
3063.jpeg,8,8,0
3064.jpeg,4,4,0
3065.jpeg,1,1,0
3066.jpeg,0,0,0
3067.jpeg,0,0,0
3068.jpeg,8,8,0
3069.jpeg,2,2,0
307.jpeg,2,2,0
3070.jpeg,0,0,0
3071.jpeg,1,1,0
3072.jpeg,2,2,0
3073.jpeg,3,3,0
3074.jpeg,7,7,0
3075.jpeg,0,0,0
3076.jpeg,0,0,0
3077.jpeg,3,3,0
3078.jpeg,0,0,0
3079.jpeg,2,2,0
308.jpeg,6,6,0
3080.jpeg,7,7,0
3081.jpeg,0,0,0
3082.jpeg,2,2,0
3083.jpeg,4,4,0
3084.jpeg,0,0,0
3085.jpeg,2,2,0
3086.jpeg,0,0,0
3087.jpeg,3,3,0
3088.jpeg,2,2,0
3089.jpeg,4,4,0
309.jpeg,2,2,0
3090.jpeg,0,0,0
3091.jpeg,7,7,0
3092.jpeg,1,1,0
3093.jpeg,0,0,0
3094.jpeg,0,0,0
3095.jpeg,4,4,0
3096.jpeg,6,6,0
3097.jpeg,3,3,0
3098.jpeg,4,4,0
3099.jpeg,3,3,0
31.jpeg,3,3,0
310.jpeg,0,0,0
3100.jpeg,2,2,0
3101.jpeg,1,1,0
3102.jpeg,7,7,0
3103.jpeg,3,3,0
3104.jpeg,9,9,0
3105.jpeg,2,2,0
3106.jpeg,4,4,0
3107.jpeg,2,2,0
3108.jpeg,1,1,0
3109.jpeg,5,5,0
311.jpeg,1,1,0
3110.jpeg,1,1,0
3111.jpeg,2,2,0
3112.jpeg,1,1,0
3113.jpeg,3,3,0
3114.jpeg,0,0,0
3115.jpeg,4,4,0
3116.jpeg,0,0,0
3117.jpeg,3,3,0
3118.jpeg,1,1,0
3119.jpeg,0,0,0
312.jpeg,5,5,0
3120.jpeg,4,4,0
3121.jpeg,0,0,0
3122.jpeg,4,4,0
3123.jpeg,1,1,0
3124.jpeg,3,3,0
3125.jpeg,4,4,0
3126.jpeg,4,4,0
3127.jpeg,0,**2**,1
3128.jpeg,2,2,0
3129.jpeg,4,4,0
313.jpeg,0,0,0
3130.jpeg,2,2,0
3131.jpeg,0,0,0
3132.jpeg,7,7,0
3133.jpeg,0,0,0
3134.jpeg,3,3,0
3135.jpeg,4,4,0
3136.jpeg,0,0,0
3137.jpeg,2,2,0
3138.jpeg,3,3,0
3139.jpeg,9,9,0
314.jpeg,3,3,0
3140.jpeg,3,3,0
3141.jpeg,1,1,0
3142.jpeg,6,6,0
3143.jpeg,7,7,0
3144.jpeg,4,4,0
3145.jpeg,1,1,0
3146.jpeg,4,4,0
3147.jpeg,4,4,0
3148.jpeg,6,6,0
3149.jpeg,4,4,0
315.jpeg,8,8,0
3150.jpeg,9,9,0
3151.jpeg,3,3,0
3152.jpeg,8,8,0
3153.jpeg,2,2,0
3154.jpeg,3,3,0
3155.jpeg,3,3,0
3156.jpeg,9,9,0
3157.jpeg,3,3,0
3158.jpeg,8,8,0
3159.jpeg,4,4,0
316.jpeg,8,8,0
3160.jpeg,3,3,0
3161.jpeg,3,3,0
3162.jpeg,8,8,0
3163.jpeg,8,8,0
3164.jpeg,4,4,0
3165.jpeg,0,0,0
3166.jpeg,4,4,0
3167.jpeg,4,4,0
3168.jpeg,4,4,0
3169.jpeg,2,2,0
317.jpeg,1,1,0
3170.jpeg,0,0,0
3171.jpeg,7,7,0
3172.jpeg,6,6,0
3173.jpeg,9,9,0
3174.jpeg,1,1,0
3175.jpeg,9,9,0
3176.jpeg,3,3,0
3177.jpeg,4,4,0
3178.jpeg,4,4,0
3179.jpeg,3,3,0
318.jpeg,0,0,0
3180.jpeg,1,1,0
3181.jpeg,9,9,0
3182.jpeg,8,8,0
3183.jpeg,2,2,0
3184.jpeg,1,1,0
3185.jpeg,2,2,0
3186.jpeg,3,3,0
3187.jpeg,2,2,0
3188.jpeg,6,6,0
3189.jpeg,3,3,0
319.jpeg,3,3,0
3190.jpeg,1,1,0
3191.jpeg,0,0,0
3192.jpeg,0,0,0
3193.jpeg,3,3,0
3194.jpeg,3,3,0
3195.jpeg,3,3,0
3196.jpeg,2,2,0
3197.jpeg,0,0,0
3198.jpeg,5,5,0
3199.jpeg,4,4,0
32.jpeg,2,2,0
320.jpeg,4,4,0
3200.jpeg,5,5,0
3201.jpeg,4,4,0
3202.jpeg,2,2,0
3203.jpeg,1,1,0
3204.jpeg,3,3,0
3205.jpeg,2,2,0
3206.jpeg,8,8,0
3207.jpeg,3,3,0
3208.jpeg,0,0,0
3209.jpeg,0,0,0
321.jpeg,3,3,0
3210.jpeg,5,5,0
3211.jpeg,3,3,0
3212.jpeg,1,1,0
3213.jpeg,3,3,0
3214.jpeg,3,3,0
3215.jpeg,3,3,0
3216.jpeg,4,4,0
3217.jpeg,1,1,0
3218.jpeg,2,2,0
3219.jpeg,2,2,0
322.jpeg,1,1,0
3220.jpeg,7,7,0
3221.jpeg,5,5,0
3222.jpeg,2,2,0
3223.jpeg,3,3,0
3224.jpeg,6,6,0
3225.jpeg,6,6,0
3226.jpeg,2,2,0
3227.jpeg,8,8,0
3228.jpeg,6,6,0
3229.jpeg,0,0,0
323.jpeg,4,4,0
3230.jpeg,1,1,0
3231.jpeg,4,4,0
3232.jpeg,8,8,0
3233.jpeg,8,8,0
3234.jpeg,2,2,0
3235.jpeg,6,6,0
3236.jpeg,0,0,0
3237.jpeg,3,3,0
3238.jpeg,0,0,0
3239.jpeg,1,1,0
324.jpeg,4,4,0
3240.jpeg,0,0,0
3241.jpeg,2,2,0
3242.jpeg,9,9,0
3243.jpeg,1,1,0
3244.jpeg,9,9,0
3245.jpeg,2,2,0
3246.jpeg,4,4,0
3247.jpeg,0,0,0
3248.jpeg,5,5,0
3249.jpeg,0,0,0
325.jpeg,2,2,0
3250.jpeg,7,7,0
3251.jpeg,1,1,0
3252.jpeg,3,3,0
3253.jpeg,6,6,0
3254.jpeg,4,4,0
3255.jpeg,1,1,0
3256.jpeg,7,7,0
3257.jpeg,5,5,0
3258.jpeg,1,1,0
3259.jpeg,2,2,0
326.jpeg,2,2,0
3260.jpeg,2,2,0
3261.jpeg,4,4,0
3262.jpeg,6,6,0
3263.jpeg,2,2,0
3264.jpeg,3,3,0
3265.jpeg,3,3,0
3266.jpeg,2,2,0
3267.jpeg,4,4,0
3268.jpeg,4,**1**,1
3269.jpeg,7,7,0
327.jpeg,2,2,0
3270.jpeg,3,3,0
3271.jpeg,4,4,0
3272.jpeg,5,5,0
3273.jpeg,4,4,0
3274.jpeg,4,4,0
3275.jpeg,3,3,0
3276.jpeg,7,7,0
3277.jpeg,3,3,0
3278.jpeg,1,1,0
3279.jpeg,0,0,0
328.jpeg,0,0,0
3280.jpeg,4,4,0
3281.jpeg,8,8,0
3282.jpeg,1,1,0
3283.jpeg,4,4,0
3284.jpeg,7,7,0
3285.jpeg,3,3,0
3286.jpeg,4,4,0
3287.jpeg,2,2,0
3288.jpeg,1,1,0
3289.jpeg,0,0,0
329.jpeg,2,2,0
3290.jpeg,0,0,0
3291.jpeg,0,0,0
3292.jpeg,1,1,0
3293.jpeg,1,1,0
3294.jpeg,2,2,0
3295.jpeg,0,0,0
3296.jpeg,4,4,0
3297.jpeg,5,5,0
3298.jpeg,0,0,0
3299.jpeg,2,2,0
33.jpeg,3,3,0
330.jpeg,6,6,0
3300.jpeg,2,2,0
3301.jpeg,8,8,0
3302.jpeg,2,2,0
3303.jpeg,4,4,0
3304.jpeg,1,1,0
3305.jpeg,4,4,0
3306.jpeg,2,2,0
3307.jpeg,0,0,0
3308.jpeg,4,4,0
3309.jpeg,4,4,0
331.jpeg,1,1,0
3310.jpeg,4,4,0
3311.jpeg,4,4,0
3312.jpeg,2,2,0
3313.jpeg,0,0,0
3314.jpeg,3,3,0
3315.jpeg,6,6,0
3316.jpeg,2,2,0
3317.jpeg,3,3,0
3318.jpeg,2,2,0
3319.jpeg,7,7,0
332.jpeg,1,1,0
3320.jpeg,7,7,0
3321.jpeg,6,6,0
3322.jpeg,0,0,0
3323.jpeg,0,0,0
3324.jpeg,1,1,0
3325.jpeg,4,4,0
3326.jpeg,4,4,0
3327.jpeg,4,4,0
3328.jpeg,8,8,0
3329.jpeg,4,4,0
333.jpeg,8,8,0
3330.jpeg,5,5,0
3331.jpeg,9,9,0
3332.jpeg,0,0,0
3333.jpeg,3,3,0
3334.jpeg,3,3,0
3335.jpeg,0,0,0
3336.jpeg,9,9,0
3337.jpeg,8,8,0
3338.jpeg,2,2,0
3339.jpeg,3,3,0
334.jpeg,3,3,0
3340.jpeg,4,4,0
3341.jpeg,0,0,0
3342.jpeg,9,9,0
3343.jpeg,4,4,0
3344.jpeg,4,4,0
3345.jpeg,1,1,0
3346.jpeg,2,2,0
3347.jpeg,1,1,0
3348.jpeg,6,6,0
3349.jpeg,2,2,0
335.jpeg,9,9,0
3350.jpeg,8,8,0
3351.jpeg,0,0,0
3352.jpeg,8,8,0
3353.jpeg,1,1,0
3354.jpeg,3,3,0
3355.jpeg,0,0,0
3356.jpeg,4,4,0
3357.jpeg,0,0,0
3358.jpeg,1,1,0
3359.jpeg,3,3,0
336.jpeg,3,3,0
3360.jpeg,4,4,0
3361.jpeg,5,5,0
3362.jpeg,0,0,0
3363.jpeg,0,0,0
3364.jpeg,4,4,0
3365.jpeg,4,4,0
3366.jpeg,0,0,0
3367.jpeg,1,1,0
3368.jpeg,6,6,0
3369.jpeg,0,0,0
337.jpeg,9,9,0
3370.jpeg,0,0,0
3371.jpeg,4,4,0
3372.jpeg,9,9,0
3373.jpeg,0,0,0
3374.jpeg,6,6,0
3375.jpeg,1,1,0
3376.jpeg,2,2,0
3377.jpeg,1,1,0
3378.jpeg,0,0,0
3379.jpeg,6,6,0
338.jpeg,1,1,0
3380.jpeg,8,8,0
3381.jpeg,4,4,0
3382.jpeg,5,5,0
3383.jpeg,8,8,0
3384.jpeg,4,4,0
3385.jpeg,4,4,0
3386.jpeg,0,0,0
3387.jpeg,0,0,0
3388.jpeg,2,2,0
3389.jpeg,3,3,0
339.jpeg,3,3,0
3390.jpeg,6,6,0
3391.jpeg,5,5,0
3392.jpeg,3,3,0
3393.jpeg,1,1,0
3394.jpeg,4,4,0
3395.jpeg,7,7,0
3396.jpeg,6,6,0
3397.jpeg,8,8,0
3398.jpeg,4,4,0
3399.jpeg,0,0,0
34.jpeg,1,1,0
340.jpeg,0,0,0
3400.jpeg,0,0,0
3401.jpeg,2,2,0
3402.jpeg,1,1,0
3403.jpeg,0,0,0
3404.jpeg,0,0,0
3405.jpeg,0,0,0
3406.jpeg,5,5,0
3407.jpeg,7,7,0
3408.jpeg,2,2,0
3409.jpeg,0,0,0
341.jpeg,1,1,0
3410.jpeg,0,0,0
3411.jpeg,4,4,0
3412.jpeg,9,9,0
3413.jpeg,3,3,0
3414.jpeg,2,2,0
3415.jpeg,0,0,0
3416.jpeg,2,2,0
3417.jpeg,0,0,0
3418.jpeg,4,4,0
3419.jpeg,2,2,0
342.jpeg,0,0,0
3420.jpeg,2,2,0
3421.jpeg,2,2,0
3422.jpeg,3,3,0
3423.jpeg,1,1,0
3424.jpeg,3,3,0
3425.jpeg,2,2,0
3426.jpeg,1,1,0
3427.jpeg,1,1,0
3428.jpeg,1,1,0
3429.jpeg,9,9,0
343.jpeg,0,0,0
3430.jpeg,6,6,0
3431.jpeg,2,2,0
3432.jpeg,8,8,0
3433.jpeg,2,2,0
3434.jpeg,9,9,0
3435.jpeg,3,3,0
3436.jpeg,2,2,0
3437.jpeg,8,8,0
3438.jpeg,0,0,0
3439.jpeg,0,0,0
344.jpeg,4,4,0
3440.jpeg,0,0,0
3441.jpeg,1,1,0
3442.jpeg,2,2,0
3443.jpeg,3,3,0
3444.jpeg,1,1,0
3445.jpeg,3,3,0
3446.jpeg,7,7,0
3447.jpeg,9,9,0
3448.jpeg,3,3,0
3449.jpeg,6,6,0
345.jpeg,6,6,0
3450.jpeg,0,0,0
3451.jpeg,4,4,0
3452.jpeg,9,9,0
3453.jpeg,9,9,0
3454.jpeg,6,6,0
3455.jpeg,3,3,0
3456.jpeg,3,3,0
3457.jpeg,1,1,0
3458.jpeg,1,1,0
3459.jpeg,8,8,0
346.jpeg,3,3,0
3460.jpeg,4,4,0
3461.jpeg,4,4,0
3462.jpeg,9,9,0
3463.jpeg,3,3,0
3464.jpeg,1,1,0
3465.jpeg,0,0,0
3466.jpeg,4,4,0
3467.jpeg,2,2,0
3468.jpeg,1,1,0
3469.jpeg,0,0,0
347.jpeg,8,8,0
3470.jpeg,4,4,0
3471.jpeg,0,0,0
3472.jpeg,4,4,0
3473.jpeg,2,2,0
3474.jpeg,9,9,0
3475.jpeg,0,0,0
3476.jpeg,2,2,0
3477.jpeg,3,3,0
3478.jpeg,9,9,0
3479.jpeg,6,6,0
348.jpeg,8,8,0
3480.jpeg,9,9,0
3481.jpeg,1,1,0
3482.jpeg,6,6,0
3483.jpeg,4,4,0
3484.jpeg,6,6,0
3485.jpeg,2,2,0
3486.jpeg,3,3,0
3487.jpeg,2,2,0
3488.jpeg,3,3,0
3489.jpeg,8,8,0
349.jpeg,4,4,0
3490.jpeg,0,0,0
3491.jpeg,3,3,0
3492.jpeg,0,0,0
3493.jpeg,9,9,0
3494.jpeg,6,6,0
3495.jpeg,0,0,0
3496.jpeg,4,4,0
3497.jpeg,1,1,0
3498.jpeg,8,8,0
3499.jpeg,4,4,0
35.jpeg,0,0,0
350.jpeg,1,1,0
3500.jpeg,0,0,0
3501.jpeg,1,1,0
3502.jpeg,6,6,0
3503.jpeg,4,4,0
3504.jpeg,9,9,0
3505.jpeg,1,1,0
3506.jpeg,8,8,0
3507.jpeg,7,7,0
3508.jpeg,4,4,0
3509.jpeg,1,1,0
351.jpeg,7,7,0
3510.jpeg,8,8,0
3511.jpeg,0,0,0
3512.jpeg,4,4,0
3513.jpeg,3,3,0
3514.jpeg,4,4,0
3515.jpeg,3,3,0
3516.jpeg,2,2,0
3517.jpeg,6,6,0
3518.jpeg,7,7,0
3519.jpeg,2,2,0
352.jpeg,8,8,0
3520.jpeg,1,1,0
3521.jpeg,7,7,0
3522.jpeg,2,2,0
3523.jpeg,1,1,0
3524.jpeg,4,4,0
3525.jpeg,3,3,0
3526.jpeg,4,4,0
3527.jpeg,1,1,0
3528.jpeg,2,2,0
3529.jpeg,2,2,0
353.jpeg,1,1,0
3530.jpeg,3,3,0
3531.jpeg,0,0,0
3532.jpeg,4,4,0
3533.jpeg,7,7,0
3534.jpeg,0,0,0
3535.jpeg,0,0,0
3536.jpeg,0,0,0
3537.jpeg,8,8,0
3538.jpeg,9,9,0
3539.jpeg,4,4,0
354.jpeg,2,2,0
3540.jpeg,4,4,0
3541.jpeg,4,4,0
3542.jpeg,0,0,0
3543.jpeg,1,1,0
3544.jpeg,0,0,0
3545.jpeg,8,8,0
3546.jpeg,4,4,0
3547.jpeg,3,3,0
3548.jpeg,0,0,0
3549.jpeg,5,5,0
355.jpeg,0,0,0
3550.jpeg,2,2,0
3551.jpeg,0,0,0
3552.jpeg,8,8,0
3553.jpeg,3,3,0
3554.jpeg,3,3,0
3555.jpeg,5,5,0
3556.jpeg,4,4,0
3557.jpeg,3,3,0
3558.jpeg,7,7,0
3559.jpeg,4,4,0
356.jpeg,1,1,0
3560.jpeg,5,5,0
3561.jpeg,3,3,0
3562.jpeg,5,5,0
3563.jpeg,1,1,0
3564.jpeg,1,1,0
3565.jpeg,4,4,0
3566.jpeg,1,1,0
3567.jpeg,3,3,0
3568.jpeg,3,3,0
3569.jpeg,3,3,0
357.jpeg,7,7,0
3570.jpeg,7,7,0
3571.jpeg,4,4,0
3572.jpeg,2,2,0
3573.jpeg,2,2,0
3574.jpeg,6,6,0
3575.jpeg,2,2,0
3576.jpeg,3,3,0
3577.jpeg,2,2,0
3578.jpeg,0,0,0
3579.jpeg,1,1,0
358.jpeg,0,0,0
3580.jpeg,1,1,0
3581.jpeg,0,0,0
3582.jpeg,4,4,0
3583.jpeg,5,5,0
3584.jpeg,3,3,0
3585.jpeg,3,3,0
3586.jpeg,9,9,0
3587.jpeg,3,3,0
3588.jpeg,0,0,0
3589.jpeg,3,3,0
359.jpeg,4,4,0
3590.jpeg,1,1,0
3591.jpeg,4,4,0
3592.jpeg,3,3,0
3593.jpeg,1,1,0
3594.jpeg,5,5,0
3595.jpeg,4,4,0
3596.jpeg,3,3,0
3597.jpeg,4,4,0
3598.jpeg,8,8,0
3599.jpeg,2,2,0
36.jpeg,3,3,0
360.jpeg,0,0,0
3600.jpeg,9,9,0
3601.jpeg,7,7,0
3602.jpeg,2,2,0
3603.jpeg,5,5,0
3604.jpeg,0,0,0
3605.jpeg,3,3,0
3606.jpeg,3,3,0
3607.jpeg,0,0,0
3608.jpeg,0,0,0
3609.jpeg,1,1,0
361.jpeg,4,4,0
3610.jpeg,8,8,0
3611.jpeg,4,4,0
3612.jpeg,1,1,0
3613.jpeg,5,5,0
3614.jpeg,1,1,0
3615.jpeg,4,4,0
3616.jpeg,1,1,0
3617.jpeg,5,5,0
3618.jpeg,0,0,0
3619.jpeg,0,0,0
362.jpeg,1,1,0
3620.jpeg,0,0,0
3621.jpeg,1,1,0
3622.jpeg,2,2,0
3623.jpeg,1,1,0
3624.jpeg,8,8,0
3625.jpeg,6,6,0
3626.jpeg,3,3,0
3627.jpeg,3,3,0
3628.jpeg,0,0,0
3629.jpeg,1,1,0
363.jpeg,0,0,0
3630.jpeg,3,3,0
3631.jpeg,0,0,0
3632.jpeg,3,3,0
3633.jpeg,6,6,0
3634.jpeg,4,4,0
3635.jpeg,3,3,0
3636.jpeg,5,5,0
3637.jpeg,4,4,0
3638.jpeg,0,0,0
3639.jpeg,2,2,0
364.jpeg,2,2,0
3640.jpeg,2,2,0
3641.jpeg,0,0,0
3642.jpeg,4,4,0
3643.jpeg,5,5,0
3644.jpeg,2,2,0
3645.jpeg,0,0,0
3646.jpeg,6,6,0
3647.jpeg,4,4,0
3648.jpeg,8,8,0
3649.jpeg,0,0,0
365.jpeg,4,4,0
3650.jpeg,4,4,0
3651.jpeg,5,5,0
3652.jpeg,5,5,0
3653.jpeg,2,2,0
3654.jpeg,4,4,0
3655.jpeg,7,7,0
3656.jpeg,1,1,0
3657.jpeg,0,0,0
3658.jpeg,8,8,0
3659.jpeg,7,7,0
366.jpeg,6,6,0
3660.jpeg,3,3,0
3661.jpeg,3,3,0
3662.jpeg,4,4,0
3663.jpeg,7,7,0
3664.jpeg,0,0,0
3665.jpeg,9,9,0
3666.jpeg,1,1,0
3667.jpeg,1,1,0
3668.jpeg,6,6,0
3669.jpeg,2,2,0
367.jpeg,7,7,0
3670.jpeg,2,2,0
3671.jpeg,2,2,0
3672.jpeg,1,1,0
3673.jpeg,2,2,0
3674.jpeg,5,5,0
3675.jpeg,7,7,0
3676.jpeg,0,0,0
3677.jpeg,9,9,0
3678.jpeg,2,2,0
3679.jpeg,4,4,0
368.jpeg,1,1,0
3680.jpeg,6,6,0
3681.jpeg,0,0,0
3682.jpeg,2,2,0
3683.jpeg,1,1,0
3684.jpeg,0,0,0
3685.jpeg,1,1,0
3686.jpeg,2,2,0
3687.jpeg,0,0,0
3688.jpeg,9,9,0
3689.jpeg,2,2,0
369.jpeg,2,2,0
3690.jpeg,0,0,0
3691.jpeg,0,0,0
3692.jpeg,1,1,0
3693.jpeg,9,9,0
3694.jpeg,4,4,0
3695.jpeg,4,4,0
3696.jpeg,0,0,0
3697.jpeg,3,3,0
3698.jpeg,5,5,0
3699.jpeg,3,3,0
37.jpeg,4,4,0
370.jpeg,4,4,0
3700.jpeg,5,5,0
3701.jpeg,3,3,0
3702.jpeg,4,4,0
3703.jpeg,3,3,0
3704.jpeg,4,4,0
3705.jpeg,5,5,0
3706.jpeg,5,5,0
3707.jpeg,1,1,0
